name,base_plan,address,services,comorbidities,values,date
MK Studio Personal Training,Basic+,"R. Profa. Suzana Ribeiro Sandoval, 499 - consolaçao, Franca - SP, 14400-190, Brasil","Aeróbicas,Circuito Funcional,Gestantes,Jiu-jitsu Brasileiro,Jiu-jitsu Infantil,Muay Thai,Musculação,Musculação Kids,Perda de peso,Pre/Pós Natal,Reabilitação,Treinamento Hibrido (Musculação + Funcional)",Espaço adaptado para cadeira de rodas,89.9,2025-01-25
Academia Multifisio,Basic,"R. Santos Pereira, 685 - Cidade Nova, Franca - SP, 14401-130, Brasil","Dance Mix,Jump,Musculação,Ritmos,Step,Zumba","Armários,Vestiário,Wi-Fi",59.9,2025-01-25
CM Corpo e Mente,Silver,"R. Santos Pereira, 685 - Cidade Nova, Franca - SP, 14401-130, Brasil",Pilates Condicionamento,"Chuveiro,Espaço adaptado para cadeira de rodas,Fisioterapeuta",139.9,2025-01-25
Panobianco Unidade Estação,Basic,"Av. Frei Germano, 2290 - Estacao, Franca - SP, 14405-215, Brasil","Abd,Musculação","Ar condicionado,Armários,Chuveiro,Espaço adaptado para cadeira de rodas,Vestiário,Wi-Fi",59.9,2025-01-25
Spaço Saúde,Basic+,"R. José Salomoni, 495 - São José, Franca - São Paulo, 14401-298, Brasil",Musculação,"Ar condicionado,Chuveiro,Espaço adaptado para cadeira de rodas,Fisioterapeuta,Personal trainer,Vestiário,Wi-Fi",89.9,2025-01-25
Aline Barbosa Pilates Fitness,Silver+,"R. Carlos de Vilhena, 2452 - Estacao, Franca - SP, 14405-203, Brasil",Pilates Fit,"Espaço adaptado para cadeira de rodas,Fisioterapeuta,Personal trainer,Wi-Fi",189.9,2025-01-25
Vital Fisio,Silver,"R. Áureliano Gomes, 687 - Jardim Roselandia, Franca - SP, 14405-057, Brasil",Pilates,"Equipamentos de treino,Espaço adaptado para cadeira de rodas,Fisioterapeuta,Loja de artigos esportivos,Vestiário,Wi-Fi",139.9,2025-01-25
Phoenix Academia,Basic,"R. Paulo César Pachêco, 585 - São José, Franca - SP, 14401-283, Brasil","Alongamento,Bike,Circuito Funcional,Fit Dance,Jiu-jitsu,Muay Thai,Musculação,Pump,Step,Treinamento Funcional,Zumba","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Nutricionista,Personal trainer,Vestiário,Wi-Fi",59.9,2025-01-25
Academia Fit +,Basic,"R. Carlos do Carmo, 810 - Cidade Nova, Franca - SP, 14401-133, Brasil",Musculação,"Armários,Vestiário,Wi-Fi",59.9,2025-01-25
Acqua Vitae,Silver+,"2260 - R. Dr. Nelson Facioli, Presotto - São José, Franca - SP, 14401-308, Brasil","Hidroterapia,Pilates,Treinamento Funcional","Ar condicionado,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Fisioterapeuta,Itens de higiene pessoal,Piscina coberta,Vestiário,Wi-Fi",189.9,2025-01-25
FACURY ACADEMIA,Silver,"R. Jonas Alcântara Vilhena, 665 - Prolongamento Vila Duque de Caxias, Franca - SP, 14401-031, Brasil","Abdominais,Alongamento","Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Itens de higiene pessoal,Vestiário,Wi-Fi",139.9,2025-01-25
In Shape Academia,Basic,"Av. José da Silva, 2716 - Jardim Integracao, Franca - SP, 14405-391, Brasil",Musculação,"Armários,Cafeteria,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Itens de higiene pessoal,Loja de artigos esportivos,Mini bar,Nutricionista,Personal trainer,Vestiário,Wi-Fi",59.9,2025-01-25
Instituto DokSuRi de Hapkido Un. 2,Basic+,"R. Carmem Irene Batista, 3379 - Estacao, Franca - SP, 14405-135, Brasil",Hapkido,"Área infantil,Chuveiro,Equipamentos de treino,Mini bar,Personal trainer,Vestiário,Wi-Fi",89.9,2025-01-25
BioBeaux Fitness,Silver,"R. da Fraternidade, 265 - Parque dos Lima, Franca - SP, 14403-120, Brasil","Ballet,Bike,Cross Funcional,Neo Pilates","Armários,Vestiário",139.9,2025-01-25
Clínica Toque Fisio,Silver,"R. Vicente Pucci, 545 - Vila Santos Dumont, Franca - SP, 14405-332, Brasil","Condicionamento Físico,Fit Training,Personal Pilates,Pilates Fit","Chuveiro,Fisioterapeuta,Vestiário,Wi-Fi",139.9,2025-01-25
Studio Nayara Soares,Silver,"Rua: Professora Herundina Castro Alves 2950 - São José, Franca - SP, 14403-442, Brasil","Abdominais,Fit Dance,Funcional,Functional Bodybuilding,Personal Trainer - T. Funcional,Yoga","Chuveiro,Equipamentos de treino,Vestiário,Wi-Fi",139.9,2025-01-25
Coworking Fitness,Silver,"R. Maria Martins de Araújo, 401 - Jardim Lima, Franca - SP, 14403-117, Brasil","Alongamento,Combate,Condicionamento Físico,Core,Funcional,Funcional Fight,Musculação","Armários,Chuveiro,Itens de higiene pessoal,Vestiário",139.9,2025-01-25
RTV pilates,Silver,"R. Francisco Pesce, 702 - santa tereza, Franca - SP, 14401-054, Brasil","Funcional,Pilates Fit",Estacionamento,139.9,2025-01-25
Adrenalina Muay Thai,Basic,"R. Jerônimo Rodrigues Pinto, 395 - Parque dos Lima, Franca - SP, 14403-072, Brasil",Muay Thai,"Chuveiro,Itens de higiene pessoal,Vestiário,Wi-Fi",59.9,2025-01-25
Home Box 502,Basic+,"R. Alberto Schirato, 502 - Jardim Lima, Franca - SP, 14403-105, Brazil","Cross Training,Funcional","Armários,Vestiário",89.9,2025-01-25
Academia Xprime - Franca,Silver,"Av. Reinaldo Chioca, 660 - Parque Progresso, Franca - SP, 14403-085, Brasil",Musculação,"Ar condicionado,Armários,Chuveiro,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário,Wi-Fi",139.9,2025-01-25
Fit Life,Starter,"Av. Pres. Vargas, 1445 - Cidade Nova, Franca - SP, 14401-110, Brasil","Circuito Funcional,Gap,Jiu-jitsu,Jump,Muay Thai,Musculação,Ritmos,Zumba","Ar condicionado,Armários,Estacionamento,Vestiário,Wi-Fi",35.9,2025-01-25
Corporeum 3.0,Basic,"R. Hortêncio Mendonça Ribeiro, 798 - Prolongamento Jardim Lima, Franca - SP, 14403-099, Brasil","Circuito Funcional,Jiu-jitsu,Musculação","Armários,Cadeado e chave,Chuveiro,Personal trainer,Vestiário,Wi-Fi",59.9,2025-01-25
Renove Pilates Unidade 2,Silver,"Rua Espirito Santo, 677 - Vila Aparecida, Franca - SP, 14401-226, Brasil",Pilates,"Armários,Vestiário",139.9,2025-01-25
Ashtanga Yoga Franca,Silver+,"R. José Pimenta de Oliveira, 700 - Parque do Castelo, Franca - SP, 14403-210, Brasil",Yoga,"Armários,Estacionamento,Vestiário",189.9,2025-01-25
SkyFit Academia - Vila Aparecida,Basic,"Av. Distrito Federal, 950 - São José, Franca - SP, 14401-342, Brasil",Musculação,"Armários,Chuveiro,Vestiário",59.9,2025-01-25
Studio Thuany Coutinho,Silver,"Av. Distrito Federal, 915 - São José, Franca - SP, 14401-342, Brasil",Pilates Funcional,"Armários,Estacionamento acessível,Fisioterapeuta,Vestiário",139.9,2025-01-25
Capparelli Underground,Silver,"Av. Santa Cruz, 3255 - Vila Santa Cruz, Franca - SP, 14403-500, Brasil",Musculação,"Equipamentos de treino,Loja de artigos esportivos",139.9,2025-01-25
MB Osteopatia e Pilates,Silver,"R. Demar Tozi, 340 - São Joaquim, Franca - SP, 14406-358, Brasil","Bola Pilates,Mat. Pilates (solo),Pilates,Pilates Aereo","Ar condicionado,Armários,Cafeteria,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário,Wi-Fi",139.9,2025-01-25
Box 720,Basic+,"Av. Dr. Ismael Alonso Y Alonso, 3553 - São José, Franca - SP, 14401-426, Brasil","Calistenia,Crosstraining,Ginástica Funcional,Levantamento de Peso Olimpico","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Itens de higiene pessoal,Loja de artigos esportivos,Mini bar,Personal trainer,Vestiário,Wi-Fi",89.9,2025-01-25
Level - Clínica Especializada,Gold,"R. Demar Tozzi, 561 - São Joaquim, Franca - SP, 14406-358, Brasil",Treinamento Funcional,"Equipamentos de treino,Fisioterapeuta,Itens de higiene pessoal,Nutricionista,Personal trainer,Wi-Fi",289.9,2025-01-25
Força em Movimento,Silver,"R. Minas Gerais, 1208 - Vila Aparecida, Franca - SP, 14401-229, Brasil","Funcional,Musculação","Chuveiro,Personal trainer,Wi-Fi",139.9,2025-01-25
Evolution Gym,Basic,"Av. Chico Júlio, 4160 - Vila Chico Julio, Franca - SP, 14405-252, Brasil","Musculação,Treinamento Funcional","Ar condicionado,Área infantil,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Itens de higiene pessoal,Loja de artigos esportivos,Vestiário,Wi-Fi",59.9,2025-01-25
Academia Mr. Olympia,Starter,"Av. Brasil, 1401 - Vila Aparecida, Franca - SP, 14401-234, Brasil",Musculação,"Armários,Loja de artigos esportivos",35.9,2025-01-25
Play Academia,Basic,"Av. Ver. Jose Granzotte, 2584 - Vila Santa Cruz, Franca - SP, 14403-500, Brasil","Jump,Musculação,Ritmos,Treinamento Funcional,Zumba","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Loja de artigos esportivos,Mini bar,Personal trainer,Toalhas de treino,Vestiário,Wi-Fi",59.9,2025-01-25
Number One,Starter,"R. Antônio Bernardes Pinto, 4491 - Vila Chico Julio, Franca - SP, 14405-233, Brasil","Axé,Capoeira,Jiu-jitsu,Jump,Karatê,Local,Muay Thai,Musculação,Step,Treinamento Funcional,Zumba","Ar condicionado,Armários,Vestiário",35.9,2025-01-25
DL Fit Energia em Movimento,Silver+,"Av. Pres. Vargas, 2171 - Jardim Planalto, Franca - SP, 14409-055, Brasil","Acro Yoga,Aero Pilates,Circo,Dance,Functional Bodybuilding,Jump,Muay Thai,Pilates Fit,Tecido Acrobático","Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Loja de artigos esportivos,Nutricionista,Personal trainer",189.9,2025-01-25
Cross Life A. Piratininga,Basic+,"Av. Hugo Betarello, 3580 - Vila Santa Cruz, Franca - SP, 14403-220, Brasil",Cross Training,"Ar condicionado,Área infantil,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário,Wi-Fi",89.9,2025-01-25
Ashtanga Yoga - 2 Unidade,Silver+,"R. dos Pracinhas, 1840 - Res. Paraiso, Franca - SP, 14403-160, Brasil",Yoga,Armários,189.9,2025-01-25
Academia Plena Forma,Basic,"R. Orestes Tristão, 699 - Vila Rezende, Franca - SP, 14406-520, Brasil",Musculação,Armários,59.9,2025-01-25
Fit Pró3.0 Academia,Silver,"Av. Reinaldo Chioca, 1520 - Parque Progresso, Franca - SP, 14403-085, Brasil","Aulas em grupo,Musculação","Armários,Vestiário",139.9,2025-01-25
Corpo In Movimento,Starter,"Av. Dom Pedro I, 725 - Parque Moema, Franca - SP, 14409-170, Brasil","Circuito,Jump,Musculação,Zumba","Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Loja de artigos esportivos,Vestiário,Wi-Fi",35.9,2025-01-25
Ekofitness,Starter,"R. Minas Gerais, 1816 - Vila Aparecida, Franca - SP, 14401-229, Brasil","cardio,Circuito,Dança,Funcional,Jump","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Itens de higiene pessoal,Nutricionista,Vestiário,Wi-Fi",35.9,2025-01-25
Crossfit Vitrini,Silver,"Av. dos Sapateiros, 1771 - Núcleo Agricola Alpha, Franca - SP, 14403-183, Brasil",Crossfit,"Aquecedor,Área infantil,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Itens de higiene pessoal,Vestiário,Wi-Fi",139.9,2025-01-25
Fenix Academia,Starter,"Rua Francisco Marques, 1913 - Jardim Sao Gabriel, Franca - SP, 14406-652, Brasil",Musculação,"Armários,Vestiário",35.9,2025-01-25
JM Fitness,Basic,"R. Alexandre Spereta, 1710 - São Joaquim, Franca - SP, 14406-307, Brasil","Dance,Funcional,Musculação","Equipamentos de treino,Nutricionista,Wi-Fi",59.9,2025-01-25
Franca Fitness,Basic,"Av. Dom Pedro I, 1351 - Jardim Dr. Antonio Petraglia, Franca - SP, 14409-170, Brasil","Abdominais,Circuito Funcional,Combat,Fit Dance,Localizada,Musculação,Zumba","Armários,Chuveiro,Vestiário,Wi-Fi",59.9,2025-01-25
Kings Academia,Starter,"Av. Nazira Aidar, 5021 - Jardim Redentor, Franca - SP, 14409-240, Brasil",Musculação,"Armários,Wi-Fi",35.9,2025-01-25
Centro de Aulas Custódio e Zanin,Silver,"Av. Dr. Hélio Palermo, 6740 - sala 1 - Estacao, Franca - SP, 14402-020, Brasil","Cicle Indoor,Muay Thai,Zumba","Armários,Cadeado e chave,Chuveiro,Equipamentos de treino,Estacionamento,Nutricionista,Personal trainer,Vestiário,Wi-Fi",139.9,2025-01-25
Academia V6,Starter,"Av. Dr. Hélio Palermo, 6740 - Estacao, Franca - SP, Brasil","Musculação,Musculação Kids,Personal Trainer - Musculação","Armários,Cadeado e chave,Chuveiro,Salão de beleza,Wi-Fi",35.9,2025-01-25
Academia Z+,Starter,"Av. Dom Pedro I, 1810 - Parque Moema, Franca - SP, 14409-180, Brasil",Musculação,"Armários,Cadeado e chave,Cafeteria,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Estacionamento,Loja de artigos esportivos,Nutricionista,Personal trainer,Vestiário,Wi-Fi",35.9,2025-01-25
Studio Antoniete,Basic+,"Rua João Urias Pimenta, 4510 - Parque Franville, Franca - SP, 14403-574, Brasil","Cardio Pilates,Mat. Pilates (solo),Neo Pilates,Pilates Condicionamento,Pilates Fit","Fisioterapeuta,Vestiário,Wi-Fi",89.9,2025-01-25
Imperius Fitness,Basic,"R. Alfredo Casale, 1421 - Vila Rezende, Franca - SP, 14406-515, Brasil",Musculação,"Ar condicionado,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário,Wi-Fi",59.9,2025-01-25
Harmônica Studio Pilates,Silver,"R. Elpídio Benedito Pinto, 550 - Chacara Santo Antonio, Franca - SP, 14403-264, Brasil",Pilates Condicionamento,"Ar condicionado,Armários,Espaço adaptado para cadeira de rodas,Wi-Fi",139.9,2025-01-25
